slice_file_name,fsID,salience,fold,classID,class_name
lt1.wav,100041,2,11,4,long_tap
lt2.wav,100042,2,11,4,long_tap
tap3.wav,100043,3,12,4,tap
tap4.wav,100044,3,12,4,tap
tap2.wav,100045,3,12,4,tap
tap5.wav,100046,3,12,4,tap
lt3.wav,100047,2,11,4,long_tap
lt4.wav,100048,2,11,4,long_tap
lt5.wav,100049,2,11,4,long_tap
lt2.wav,100050,2,11,4,long_tap
tap3.wav,100051,3,12,4,tap
tap4.wav,100052,3,12,4,tap
tap2.wav,100053,3,12,4,tap
tap5.wav,100054,3,12,4,tap
lt3.wav,100055,2,11,4,long_tap
lt4.wav,100056,2,11,4,long_tap
lt5.wav,100057,2,11,4,long_tap
lt6.wav,100058,2,11,4,long_tap
lt7.wav,100059,2,11,4,long_tap
lt8.wav,100060,2,11,4,long_tap
lt9.wav,100061,2,11,4,long_tap
lt10.wav,100062,2,11,4,long_tap
sw1.wav,100063,4,13,5,swipe
sw2.wav,100064,5,13,5,swipe
z1.wav,100065,6,14,5,zoom
dt1.wav,100066,7,15,5,double_tap
dt2.wav,100067,7,15,5,double_tap
dt3.wav,100068,7,15,5,double_tap
dt4.wav,100069,7,15,5,double_tap
dt5.wav,100070,7,15,5,double_tap
dt6.wav,100071,7,15,5,double_tap
dt7.wav,100072,7,15,5,double_tap
dt8.wav,100073,7,15,5,double_tap
sw3.wav,100074,4,13,5,swipe
sw4.wav,100075,5,13,5,swipe
sw5.wav,100076,4,13,5,swipe
sw6.wav,100077,5,13,5,swipe
sw7.wav,100078,4,13,5,swipe
sw8.wav,100079,5,13,5,swipe
sw9.wav,100080,4,13,5,swipe
sw10.wav,100081,5,13,5,swipe
tap1.wav,100082,3,12,4,tap
tap5.wav,100083,3,12,4,tap
tap6.wav,100084,3,12,4,tap
tap7.wav,100085,3,12,4,tap
tap8.wav,100086,3,12,4,tap
tap9.wav,100087,3,12,4,tap
tap10.wav,100088,3,12,4,tap
z2.wav,100089,6,14,5,zoom
z3.wav,100090,6,14,5,zoom
z4.wav,100091,6,14,5,zoom
z5.wav,100092,6,14,5,zoom
z6.wav,100093,6,14,5,zoom
z7.wav,100094,6,14,5,zoom
z8.wav,100095,6,14,5,zoom
z9.wav,100096,6,14,5,zoom
z10.wav,100097,6,14,5,zoom
lt2.wav,100098,2,11,4,long_tap
tap3.wav,100099,3,12,4,tap
tap4.wav,100100,3,12,4,tap
tap2.wav,100101,3,12,4,tap
tap5.wav,100102,3,12,4,tap
lt3.wav,100103,2,11,4,long_tap
lt4.wav,100104,2,11,4,long_tap
lt5.wav,100105,2,11,4,long_tap
lt6.wav,100106,2,11,4,long_tap
lt7.wav,100107,2,11,4,long_tap
lt8.wav,100108,2,11,4,long_tap
lt9.wav,100109,2,11,4,long_tap
lt10.wav,100110,2,11,4,long_tap
sw1.wav,100111,4,13,5,swipe
sw2.wav,100112,5,13,5,swipe
z1.wav,100113,6,14,5,zoom
dt1.wav,100114,7,15,5,double_tap
dt2.wav,100115,7,15,5,double_tap
dt3.wav,100116,7,15,5,double_tap
dt4.wav,100117,7,15,5,double_tap
dt5.wav,100118,7,15,5,double_tap
dt6.wav,100119,7,15,5,double_tap
dt7.wav,100120,7,15,5,double_tap
dt8.wav,100121,7,15,5,double_tap
sw3.wav,100122,4,13,5,swipe
sw4.wav,100123,5,13,5,swipe
sw5.wav,100124,4,13,5,swipe
sw6.wav,100125,5,13,5,swipe
sw7.wav,100126,4,13,5,swipe
sw8.wav,100127,5,13,5,swipe
sw9.wav,100128,4,13,5,swipe
sw10.wav,100129,5,13,5,swipe
tap1.wav,100130,3,12,4,tap
